plot;species;dbh
10;Sebastiania commersoniana;11,4591559
10;Sebastiania commersoniana;8,562535938
10;Sebastiania commersoniana;7,512113314
10;Sebastiania commersoniana;6,016056849
10;Sebastiania commersoniana;6,047887837
10;Sebastiania commersoniana;5,06112719
11;Sebastiania commersoniana;63,66197724
11;Eugenia uniflora;11,14084602
11;Eugenia uniflora;27,09189278
11;Sebastiania commersoniana;10,18591636
11;Eugenia uniflora;6,843662553
11;Sebastiania commersoniana;12,63690248
11;Allophylus edulis;13,68732511
11;Allophylus edulis;9,90777551
11;Sebastiania commersoniana;50,92958179
11;Allophylus edulis;6,752372371
11;Sebastiania commersoniana;38,19718634
11;Allophylus edulis;11,34434285
11;Sebastiania commersoniana;15,72450838
11;Sebastiania commersoniana;14,64225476
11;Sebastiania commersoniana;10,74436149
11;Allophylus edulis;6,90732453
11;Strychnos brasiliensis;5,2230957
12;Myrcia glomerata;5,092958179
12;Myrrhinium atropurpureum;6,207042781
12;Allophylus edulis;17,37998213
12;Sebastiania commersoniana;32,78591828
12;Dalbergia frutescens;11,49098689
12;Sebastiania commersoniana;18,4619734
12;Sebastiania commersoniana;20,37183272
12;Ocotea pulchella;18,30281846
12;Sebastiania commersoniana;5,411268065
12;Eugenia uniflora;8,765089132
12;Eugenia uniflora;5,347606088
12;Eugenia uniflora;5,379437077
12;Ocotea pulchella;37,24225668
12;Campomanesia rhombea;27,66960753
12;Eugenia uniflora;15,9821996
13;Sebastiania commersoniana;16,87042397
13;Sebastiania commersoniana;14,51493081
13;Allophylus edulis;5,411268065
13;Sebastiania commersoniana;8,116902098
13;Sebastiania commersoniana;5,729577951
13;Allophylus edulis;6,68450761
13;Myrcia glomerata;5,347606088
13;Myrcia glomerata;9,708451529
13;Allophylus edulis;15,13897346
13;Sebastiania commersoniana;8,435211984
13;Sebastiania commersoniana;15,18338157
13;Ocotea pulchella;7,066479473
13;Sebastiania commersoniana;15,50169146
13;Blepharocalyx salicifolius;11,93662073
13;Myrcia guianensis;11,70861283
13;Myrcia guianensis;7,002817496
13;Sebastiania commersoniana;18,78028328
13;Myrcia selloi;8,435211984
13;Myrcia glomerata;5,474930042
13;Allophylus edulis;11,30336289
13;Allophylus edulis;5,379437077
13;Myrcia glomerata;9,230986699
13;Sebastiania commersoniana;29,98479128
13;Myrrhinium atropurpureum;9,545263809
13;Myrcia glomerata;8,594366927
13;Myrcia glomerata;6,788364128
13;Allophylus edulis;5,697746963
13;Myrcia glomerata;12,91604876
13;Allophylus edulis;6,68450761
13;Myrcia guianensis;10,19307581
13;Allophylus edulis;8,266502229
13;Allophylus edulis;14,68495674
13;Allophylus edulis;6,366197724
13;Sebastiania commersoniana;41,18929927
13;Blepharocalyx salicifolius;26,0059177
22;Sebastiania commersoniana;13,78281807
22;Sebastiania brasiliensis;6,748169587
22;Sebastiania commersoniana;5,602253997
22;Nectandra megapotamica;33,70901695
22;Allophylus edulis;12,12990396
22;Sebastiania commersoniana;10,0585924
22;Prunus myrtifolia;11,93662073
22;Prunus myrtifolia;28,16278086
22;Sebastiania commersoniana;7,321127382
22;Sebastiania commersoniana;10,3450713
22;Sebastiania commersoniana;9,390141642
22;Sebastiania commersoniana;7,161972439
22;Prunus myrtifolia;17,98450857
22;Prunus myrtifolia;10,0585924
22;Prunus myrtifolia;9,867606472
22;Sebastiania commersoniana;9,772113506
22;Sebastiania commersoniana;5,092958179
22;Sebastiania commersoniana;11,04535305
22;Sebastiania commersoniana;19,38507207
22;Sebastiania commersoniana;10,72704316
22;Sebastiania commersoniana;7,543944303
22;Sebastiania commersoniana;7,034648485
22;Blepharocalyx salicifolius;11,90478974
22;Blepharocalyx salicifolius;7,352958371
22;Blepharocalyx salicifolius;23,07746675
22;Blepharocalyx salicifolius;12,60507149
22;Allophylus edulis;8,403622136
22;Allophylus edulis;9,994930426
22;Prunus myrtifolia;20,37183272
22;Sebastiania commersoniana;5,952394872
22;Sebastiania commersoniana;15,15155058
22;Prunus myrtifolia;16,774931
22;Sebastiania commersoniana;17,50704374
22;Sebastiania commersoniana;9,549296586
22;Blepharocalyx salicifolius;22,75915686
22;Sebastiania commersoniana;12,06394469
22;Sebastiania commersoniana;8,467042972
22;Sebastiania commersoniana;7,480282325
22;Sebastiania commersoniana;6,589014644
22;Blepharocalyx salicifolius;6,46169069
22;Nectandra megapotamica;20,11718481
22;Myrrhinium atropurpureum;16,22784259
22;Blepharocalyx salicifolius;13,20986028
22;Sebastiania commersoniana;7,957747155
23;Blepharocalyx salicifolius;35,04591847
23;Eugenia uniflora;29,37777803
23;Sebastiania commersoniana;6,843662553
23;Blepharocalyx salicifolius;63,98028712
23;Allophylus edulis;10,21075404
23;Strychnos brasiliensis;7,652688687
23;Eugenia uniflora;33,54357978
23;Sebastiania commersoniana;6,366197724
23;Sebastiania commersoniana;6,047887837
23;Sebastiania commersoniana;6,68450761
23;Sebastiania commersoniana;8,435211984
23;Sebastiania commersoniana;20,37183272
23;Sebastiania commersoniana;6,68450761
23;Sebastiania commersoniana;10,02676141
23;Sebastiania commersoniana;13,27352225
23;Dalbergia frutescens;8,817183847
23;Sebastiania commersoniana;10,82253613
23;Sebastiania commersoniana;6,047887837
23;Eugenia uniflora;44,9245663
23;Sebastiania commersoniana;8,594366927
23;Eugenia uniflora;16,71126902
23;Sebastiania commersoniana;8,276057041
23;Sebastiania commersoniana;22,28169203
23;Blepharocalyx salicifolius;27,85211504
23;Eugenia uniflora;5,952394872
23;Eugenia uniflora;13,36901522
23;Eugenia uniflora;7,512113314
23;Sebastiania commersoniana;13,68732511
23;Sebastiania commersoniana;15,91549431
23;Sebastiania commersoniana;22,60000192
23;Sebastiania brasiliensis;20,6901426
23;Dalbergia frutescens;8,912676813
24;Sebastiania commersoniana;5,252113122
24;Sebastiania commersoniana;6,68450761
24;Sebastiania commersoniana;15,11971959
24;Prunus myrtifolia;11,36366294
24;Sebastiania commersoniana;10,88619811
24;Sebastiania commersoniana;11,93662073
24;Araucaria angustifolia;13,84648005
24;Sebastiania commersoniana;21,67690325
24;Sebastiania commersoniana;12,00028271
24;Sebastiania commersoniana;18,1754945
24;Allophylus edulis;8,148733086
24;Allophylus edulis;8,435211984
24;Allophylus edulis;6,525352667
24;Prunus myrtifolia;14,64225476
24;Sebastiania commersoniana;9,326479665
24;Allophylus edulis;7,798592212
24;Prunus myrtifolia;15,56535343
24;Allophylus edulis;13,239893
24;Myrcia selloi;11,4591559
24;Sebastiania commersoniana;9,390141642
24;Ocotea puberula;13,56646295
24;Sebastiania commersoniana;19,576058
24;Prunus myrtifolia;10,0585924
24;Sebastiania commersoniana;8,339719018
24;Sebastiania commersoniana;20,63374938
24;Symplocos uniflora;17,3478888
24;Allophylus edulis;8,75352187
24;Sebastiania commersoniana;13,84648005
24;Sebastiania commersoniana;11,58665475
24;Sebastiania commersoniana;11,77746579
33;Annona rugulosa;5,379437077
33;Eugenia uniflora;5,888732894
33;Allophylus edulis;5,888732894
33;Blepharocalyx salicifolius;43,57662342
33;Nectandra megapotamica;24,63718519
33;Ocotea pulchella;35,33239737
33;Eugenia uniflora;8,925456887
33;Blepharocalyx salicifolius;32,65158207
33;Eugenia uniflora;5,474930042
33;Eugenia uniflora;6,429859701
33;Nectandra megapotamica;24,76450915
33;Eugenia uniflora;7,798592212
33;Casearia decandra;5,665915974
33;Nectandra megapotamica;15,27887454
33;Eugenia uniflora;13,05070533
33;Eugenia uniflora;10,18591636
33;Eugenia uniflora;15,73059633
33;Casearia decandra;5,092958179
33;Nectandra megapotamica;18,4619734
33;Allophylus edulis;19,09859317
33;Blepharocalyx salicifolius;14,70591674
33;Eugenia uniflora;12,79605742
33;Eugenia uniflora;36,7675339
33;Sebastiania commersoniana;18,4619734
33;Eugenia uniflora;11,95595831
33;Nectandra megapotamica;20,37183272
34;Eugenia uniflora;35,65070725
34;Eugenia uniflora;27,37511287
34;Eugenia uniflora;17,3478888
34;Nectandra megapotamica;9,708451529
34;Nectandra megapotamica;6,047887837
34;Casearia decandra;6,512841186
34;Campomanesia xanthocarpa;30,90230017
34;Nectandra megapotamica;6,334366735
34;Blepharocalyx salicifolius;47,74648293
34;Nectandra megapotamica;6,207042781
34;Eugenia pyriformis;34,44112969
34;Myrcia glomerata;5,729577951
35;Eugenia uniflora;6,328205482
35;Eugenia uniflora;5,706897692
35;Nectandra megapotamica;9,485634608
35;Zanthoxylum rhoifolium;21,32676237
35;Blepharocalyx salicifolius;15,85183233
35;Blepharocalyx salicifolius;20,05352283
35;Sebastiania commersoniana;30,87605896
35;Eugenia uniflora;29,12535459
35;Sebastiania commersoniana;5,092958179
35;Nectandra megapotamica;5,156620156
35;Allophylus edulis;21,64507226
35;Casearia decandra;6,620845633
35;Allophylus edulis;10,75887415
35;Allophylus edulis;9,071831756
35;Annona rugulosa;10,50422624
36;Myrcia glomerata;17,18873385
36;Sebastiania commersoniana;32,40394641
36;Ligustrum sinense;10,53716309
36;Campomanesia xanthocarpa;11,39549393
36;Sebastiania commersoniana;25,14648101
36;Sebastiania commersoniana;39,85239775
36;Sebastiania commersoniana;5,156620156
36;Campomanesia rhombea;14,64225476
36;Sebastiania commersoniana;6,748169587
36;Sebastiania commersoniana;5,615711746
36;Campomanesia xanthocarpa;9,534696221
36;Sebastiania commersoniana;6,748169587
36;Sebastiania commersoniana;12,5732405
36;Sebastiania commersoniana;21,45408633
37;Sebastiania commersoniana;18,52563538
37;Sebastiania commersoniana;5,124789168
37;Sebastiania commersoniana;5,156620156
37;Sebastiania commersoniana;22,53633994
37;Sebastiania commersoniana;18,01265556
37;Sebastiania commersoniana;15,43802948
37;Allophylus edulis;15,4281817
37;Nectandra megapotamica;13,05070533
37;Eugenia uniflora;28,96619964
37;Myrcia glomerata;10,82253613
37;Myrcia glomerata;12,73239545
37;Nectandra megapotamica;21,19943842
37;Eugenia uniflora;41,70709869
37;Eugenia uniflora;5,474930042
38;Eugenia uniflora;26,78204603
38;Sebastiania commersoniana;17,50704374
38;Campomanesia xanthocarpa;15,02422663
38;Allophylus edulis;14,32394488
38;Campomanesia xanthocarpa;25,46479089
38;Araucaria angustifolia;31,19436885
38;Banara tomentosa;26,01635711
38;Allophylus edulis;5,570423008
38;Casearia decandra;5,665915974
38;Blepharocalyx salicifolius;28,64788976
38;Blepharocalyx salicifolius;21,64507226
38;Myrcia glomerata;11,82147379
38;Blepharocalyx salicifolius;38,19718634
39;Sebastiania commersoniana;8,276057041
39;Campomanesia xanthocarpa;31,77523556
39;Sebastiania commersoniana;9,708451529
39;Nectandra megapotamica;5,411268065
39;Sebastiania commersoniana;7,957747155
39;Eugenia pyriformis;10,37690229
39;Campomanesia xanthocarpa;8,649833227
39;Campomanesia xanthocarpa;34,31380573
39;Eugenia uniflora;14,80140971
39;Allophylus edulis;9,417078421
39;Campomanesia xanthocarpa;14,96056465
39;Annona rugulosa;7,321127382
39;Eugenia uniflora;9,115007986
39;Sebastiania commersoniana;11,52281788
39;Sebastiania commersoniana;12,35042358
39;Eugenia uniflora;17,98450857
39;Eugenia uniflora;24,45813297
39;Sebastiania commersoniana;17,31605781
40;Sebastiania commersoniana;21,64507226
40;Sebastiania commersoniana;5,729577951
40;Erythroxylum deciduum;12,73239545
40;Sebastiania commersoniana;13,05070533
40;Sebastiania commersoniana;30,23943919
40;Sebastiania commersoniana;23,30028367
